feature_name,importance_score
NDWI_MCF_Q4,0.033274184485403334
SAVI_Q4,0.03322695654245553
NDVI_Q4,0.027913384487194867
B11_Q4,0.027753487748539207
B12_Q2,0.02592089310576384
B5_Q4,0.025204365996645106
B11_Q2,0.02491517694917208
B3_Q4,0.023806182314606596
B7_Q4,0.02289505555864239
NDWI_MCF_Q3,0.022851112137563082
NDVI_Q2,0.022766827795508735
B12_Q3,0.021962074047178363
SAVI_Q3,0.021468745553127846
SAVI_Q2,0.021050942158399245
B5_Q1,0.02058807259329681
B4_Q4,0.020302133130052812
NDVI_Q3,0.020024488468789826
EVI_Q2,0.01976996685022543
B5_Q2,0.019334895781812137
B4_Q3,0.01875814306632538
B8_Q4,0.01851353653897701
NDWI_MCF_Q2,0.018025904391032778
B4_Q1,0.016812479266032694
B5_Q3,0.016643903942160768
B6_Q4,0.016450591122355834
B8A_Q4,0.016287064091647888
NDVI_Q1,0.016119500856872297
NDWI_GAO_Q4,0.015692749006372925
B12_Q1,0.015559446856366782
B8_Q1,0.015372823993775405
B8A_Q1,0.014749293168040668
SAVI_Q1,0.014737171955886787
B7_Q1,0.014700773627601369
B11_Q1,0.014649332955283683
B4_Q2,0.014437802908590492
B12_Q4,0.014261100222150727
B2_Q4,0.014101269911441025
B2_Q1,0.013924003091531755
B11_Q3,0.013825825775315709
B6_Q3,0.013785934726382194
B3_Q3,0.01322433082288999
B3_Q1,0.013204754825513745
B6_Q1,0.01304425335760687
B2_Q2,0.012818479127023281
B3_Q2,0.012637672101528472
B7_Q3,0.012502452066034338
EVI_Q1,0.012392188771641215
NDWI_GAO_Q2,0.012067670953873717
B8_Q3,0.011811981602851766
EVI_Q4,0.011778346987433094
NDWI_MCF_Q1,0.011551058811073434
NDWI_GAO_Q3,0.011115093291761335
B8_Q2,0.010705106013095085
B6_Q2,0.010246155713039868
B2_Q3,0.009135757596780543
B8A_Q3,0.009036743075479338
B8A_Q2,0.007954621159824137
NDWI_GAO_Q1,0.007725342816972269
B7_Q2,0.0075735342223918894
EVI_Q3,0.007036859504664189
